,Address,Latitude,Longitude
0,Pimpri,18.623185399999997,73.80199315
1,FC Road,18.5144652,73.8423542
2,Shivaji Nagar,25.88455445,86.03985031384562
3,Wanowrie Kondhwa Area,,
4,Chinchwad,18.6403548,73.7917128
5,Baner,19.5322824,82.8086975
6,NIBM Road,18.46855,73.9005278
7,Magarpatta,18.5111545,73.92738227328095
8,Viman Nagar,17.4467567,78.4838203
9,Lonavala,18.7548563,73.4016729
10,Kothrud,18.5038889,73.807673
11,Viman Nagar,17.4467567,78.4838203
12,Kharadi,18.5512763,73.9416575
13,Erandwane,,
14,Ravet,18.643269,73.7450557
15,Baner,19.5322824,82.8086975
16,Senapati Bapat Road,19.0090251,72.8330467
17,Viman Nagar,17.4467567,78.4838203
18,Hinjawadi,18.5927532,73.7382151
19,Aundh,18.5618834,73.8101957
20,Viman Nagar,17.4467567,78.4838203
21,Koregaon Park,18.5377173,73.8929915
22,Kondhwa,18.4779905,73.8940627
23,Chandan Nagar,26.5054763,93.9777388
24,Kothrud,18.5038889,73.807673
25,Aundh,18.5618834,73.8101957
26,Kothrud,18.5038889,73.807673
27,Pimple Saudagar,18.5981553,73.7977661
28,Hadapsar,18.526967,73.9278252
29,Bavdhan,18.5209541,73.7780873
30,Sadashiv Peth,18.5107764,73.8502149
31,Dange Chowk,18.6156694,73.765352
32,Camp Area,23.2449345,69.6795416
33,Koregaon Park,18.5377173,73.8929915
34,Magarpatta,18.5111545,73.92738227328095
35,Wakad,18.6022495,73.7644454
36,Baner,19.5322824,82.8086975
37,Kothrud,18.5038889,73.807673
38,Baner,19.5322824,82.8086975
39,Kalyani Nagar,18.5481732,73.90075640909583
40,Viman Nagar,17.4467567,78.4838203
41,Khadki,18.5681753,73.8507787
42,Mundhwa,18.5336727,73.9317831
43,Mundhwa,18.5336727,73.9317831
44,Pashan,18.5386704,73.7952542
45,Koregaon Park,18.5377173,73.8929915
46,Kharadi,18.5512763,73.9416575
47,Aundh,18.5618834,73.8101957
48,Deccan Gymkhana,18.5158926,73.84116
49,Bavdhan,18.5209541,73.7780873
50,Kharadi,18.5512763,73.9416575
51,Shivaji Nagar,25.88455445,86.03985031384562
52,Aundh,18.5618834,73.8101957
53,Kalyani Nagar,18.5481732,73.90075640909583
54,Viman Nagar,17.4467567,78.4838203
55,Baner,19.5322824,82.8086975
56,Hinjawadi,18.5927532,73.7382151
57,Kothrud,18.5038889,73.807673
58,Erandwane,,
59,Hinjawadi,18.5927532,73.7382151
60,Hadapsar,18.526967,73.9278252
61,Magarpatta,18.5111545,73.92738227328095
62,MG Road,12.9755264,77.6067902
63,Baner,19.5322824,82.8086975
64,Wakad,18.6022495,73.7644454
65,Kharadi,18.5512763,73.9416575
66,Baner,19.5322824,82.8086975
67,Hinjawadi,18.5927532,73.7382151
68,Mundhwa,18.5336727,73.9317831
69,Kothrud,18.5038889,73.807673
70,Fatima Nagar,18.5045098,73.902129
71,Baner,19.5322824,82.8086975
72,Baner,19.5322824,82.8086975
73,Hinjawadi,18.5927532,73.7382151
74,Magarpatta,18.5111545,73.92738227328095
75,Koregaon Park,18.5377173,73.8929915
76,Baner,19.5322824,82.8086975
77,Baner,19.5322824,82.8086975
78,Deccan Gymkhana,18.5158926,73.84116
79,Viman Nagar,17.4467567,78.4838203
80,Budhwar Peth,19.5384168,78.2604003
81,Pimple Nilakh,18.5696793,73.7940824
82,Camp Area,23.2449345,69.6795416
83,Law College Road,27.4901605,95.3619379
84,Aundh,18.5618834,73.8101957
85,Wakad,18.6022495,73.7644454
86,Baner,19.5322824,82.8086975
87,Karve Nagar,18.4894205,73.821347
88,Koregaon Park,18.5377173,73.8929915
89,Baner,19.5322824,82.8086975
90,Camp Area,23.2449345,69.6795416
91,Viman Nagar,17.4467567,78.4838203
92,SB Road - Aundh,18.5551132,73.797677
93,Erandwane,,
94,Kothrud,18.5038889,73.807673
95,Shivaji Nagar,25.88455445,86.03985031384562
96,Balewadi,18.5820266,73.7689831
97,Bund Garden Road,18.5228789,73.8781194
98,Viman Nagar,17.4467567,78.4838203
99,Wakad,18.6022495,73.7644454
100,Pimple Saudagar,18.5981553,73.7977661
101,Balewadi,18.5820266,73.7689831
102,Warje,18.4820444,73.8001705
