,Unnamed: 0,Restaurant_Name,Locality_Restaurant,Ratings_out_of_5_Restaurant,Price_Restaurant,Price Level__Restaurant,Latitude_x__Restaurant,Longitude_x__Restaurant,Nearest_Place_Index_0,Distance_to_Place_0_from__Restaurant,Name_Place,Latitude_place_0_x,Longitude_place_0_x,Rating_Place,Place_ID_Place,amusement_park_Place,art_gallery_Place,campground_Place,car_rental_Place,cemetery_Place,church_Place,establishment_Place,finance_Place,food_Place,gym_Place,health_Place,hindu_temple_Place,lodging_Place,museum_Place,park_Place,place_of_worship_Place,point_of_interest_Place,real_estate_agency_Place,shopping_mall_Place,store__Place,synagogue_Place,tourist_attraction_Place,travel_agency_Place,zoo_Place,Hotel_name,area_Hotel,hotel_star_rating_Hotel,mmt_review_score_Hotel,Price_Hotel,Longitude_Hotel,Latitude_Hotel,Distance_to_Place_form_Hotel,budget,budget_level
0,0,AB's - Absolute Barbecues,Hinjawadi,4.9,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2600,3
1,1,AB's - Absolute Barbecues,Hinjawadi,4.9,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3147,3
2,2,AB's - Absolute Barbecues,Hinjawadi,4.9,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2593,3
3,3,AB's - Absolute Barbecues,Hinjawadi,4.9,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2840,3
4,4,AB's - Absolute Barbecues,Hinjawadi,4.9,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2113,2
5,5,I Amsterdam,Hinjawadi,4.3,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Executive Tamanna Hotel,"Hinjewadi,Aundh,Wakad",2,3.7,1900,73.734974,18.58575,0.000682809,2600,3
6,6,I Amsterdam,Hinjawadi,4.3,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Ashiyana Hospitality Service Apartment,Hinjewadi,1,3.4,2447,73.740133,18.578061,0.004711265,3147,3
7,7,I Amsterdam,Hinjawadi,4.3,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Siesta Hinjewadi Lxia,"Hinjewadi,Wakad Naka,Wakad",3,4.5,1893,73.745629,18.591736,0.010088591,2593,3
8,8,I Amsterdam,Hinjawadi,4.3,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Riverdale Hospitality Service Apartment,Hinjewadi,1,2.8,2140,73.736188,18.580314,0.001086958,2840,3
9,9,I Amsterdam,Hinjawadi,4.3,700,2,18.5927532,73.7382151,44,0.00268606,Mhatoba Mandir,18.5898722,73.7355417,4.7,ChIJc3mnycK7wjsROD3Kmtbojkc,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,Hotel Elite Galaxy,"Rajiv Gandhi Infotech Park,",2,4,1413,73.732535,18.599672,0.003142478,2113,2
