Name,Latitude,Longitude,Rating,Place_ID,amusement_park,art_gallery,campground,car_rental,cemetery,church,establishment,finance,food,gym,health,hindu_temple,lodging,museum,park,place_of_worship,point_of_interest,real_estate_agency,shopping_mall,store,synagogue,tourist_attraction,travel_agency,zoo
Aga Khan Palace,18.5524942,73.9014563,4.3,ChIJGxtxaBfBwjsR9GnVR3SpG6w,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Balaji Temple,18.5044277,73.8382765,4.3,ChIJU7O62vS_wjsRu0sy4pQg-m0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Bedekar Ganpati Mandir,18.5115516,73.8175856,4.5,ChIJ170MkL2_wjsRNmTCxikgfys,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Biradvadi Hill,18.7730736,73.8368552,4.1,ChIJ47eaW4e1wjsRYzRPxn-JKOw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Bird Valley Udyan,18.6570287,73.8001781,4,ChIJocDhrC64wjsRSkxI1v1RnEc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Bliss Art Gallery,18.5400403,73.8939451,3.5,ChIJQ36_ewbBwjsRMTc9Mgd05JE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
BM Thorat Chowk,18.5300698,73.8373518,2,ChIJlYvDBB6_wjsRHJ-1UgnCag4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Butterfly Trampoline Park - Hinjawadi (Pune),18.5957767,73.7265946,4.8,ChIJQ_FHYjS7wjsRq7sJnSUJO00,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Chakreshwar Mandir,18.7594231,73.8677103,4.4,ChIJK4CT9orJwjsRjnGi04OpZ7s,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Chapekar Museum,18.6267442,73.7799414,4.6,ChIJL5NF1aS5wjsR-q4TYJxx3gw,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Chatrapati Shivaji Maharaj Satue,18.5043185,73.8211908,5,ChIJhbDpHNC_wjsRKnnp9TFZUvg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Chittaranjan Vatika,18.5322985,73.8378708,4.5,ChIJ68WI9H6_wjsRtKoOEmMm9Ws,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
CP Chondhe Lake,18.4926375,73.7589646,3.9,ChIJEUE3QZ6_wjsRk4FXm9y0T5w,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Dakshin-Mukhi Ubha Maruti Temple,18.6473326,73.7884055,4.7,ChIJa6rhhc65wjsRx24wkJlbg0U,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Darshan Museum,18.5240953,73.8764697,4.5,ChIJIZF6bFrAwjsRKpKPBjMMLUA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Datta Mandir,18.5605459,73.7858232,4.6,ChIJ1cuL-NC-wjsRt1Cp0Ea55w8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Empress Botanical Garden,18.5123005,73.8979112,4,ChIJVVVVlbXBwjsR_je8hWKs9iA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Forest Area Wanowrie,18.4884072,73.9120584,4.5,ChIJdbx8VnXqwjsRkQK6lwLOazA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Gadima Bungalow (पंचवटी | Panchawati) / Ga Di Madgulkar Bungalow,18.5376992,73.850201,5,ChIJ63a_K5TBwjsRNv_zr_2th8I,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gandhi National Memorial Society,18.5516227,73.9020893,4.4,ChIJTa5Z1hnBwjsRs2RBI8fKFFc,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Gram sanskruti udyan,18.546361,73.798803,2.4,ChIJKeF3m-y_wjsR446szVPqyDE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gujarwadi Hills,18.4363509,73.8791349,4.4,ChIJ23n5jGzrwjsRZk09Y1cJ6wM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Gyanjyoti Savitribai Phule Udyan,18.5924724,73.781132,4.5,ChIJNTfy2Be5wjsRAHt4rO0N6g8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Hari Krishna Mandir,18.5312461,73.8370818,4.5,ChIJ5_ko2X6_wjsRbQM11rn_a88,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
Hill View Point,18.5626966,73.9372298,4,ChIJDaoJyojDwjsRq1qaZnBSRmw,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Historical Structure,18.5676033,73.8101133,3.8,ChIJ0UDLtzO_wjsR2g05bHblynE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
I Love FC Road,18.5192906,73.8413258,4.7,ChIJY4fvSju_wjsRKHDjOEOGCpk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
I Love Kothrud,18.5021691,73.8100006,2.2,ChIJPZPc9C6_wjsRDQS1xv6D-ug,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ISKCON NVCC Pune,18.4487163,73.880877,4.7,ChIJSdctqfvqwjsR7tcJvlsbul4,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0
Joshi's Museum Of Miniature Railways,18.5017119,73.8223036,4.1,ChIJrX8KtLG_wjsR5Y5V_giawps,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
K.Mandir,18.6185137,73.7981583,3.3,ChIJh9x_oVW4wjsR5-pXWEyIijA,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
